N,TotalFunds,RateFloor,QFunc,PFunc,AvgProfit,AvgAllocation,AvgA,AvgRate
5,50,0.01,linear,linear,2.7154706006450327,40.953023078567,0.8551859337672829,0.01468275769281855
5,50,0.01,linear,flat,2.6464169078693662,42.573478335938525,1.0,0.014812360892727383
5,50,0.01,linear,full,2.6464162977948167,42.573483181240626,1.0,0.014812360892727383
5,50,0.01,quadratic,linear,3.6509143615044066,42.85412254214737,0.6658713503721482,0.014812360892727383
5,50,0.01,quadratic,flat,3.1007889223186496,42.80224264739136,0.8561073307680461,0.014812360892727383
5,50,0.01,quadratic,full,2.887878077776613,42.726086952636884,0.9229896310635097,0.014812360892727383
5,50,0.05,linear,linear,2.405908775891404,33.84944420844813,0.7963225036386302,0.05548571402936267
5,50,0.05,linear,flat,2.1357328457685663,40.79679738022938,1.0,0.05495759592438613
5,50,0.05,linear,full,2.1357324348895426,40.79679556384391,1.0,0.05495759592438613
5,50,0.05,quadratic,linear,3.0190863549461526,42.593713914073625,0.6657017177837125,0.05474995061836764
5,50,0.05,quadratic,flat,2.544774308356812,41.88388374392397,0.8534841413021251,0.05493630773799329
5,50,0.05,quadratic,full,2.3584241342147476,41.382381551549926,0.921344123367025,0.05495759592438613
5,50,0.1,linear,linear,2.19710494300109,30.590787480531244,0.8822626749887443,0.10641670128703296
5,50,0.1,linear,flat,1.7158571934636293,34.2284889408894,1.0,0.10555058144923705
5,50,0.1,linear,full,1.7158569533908556,34.22849525479448,1.0,0.10555058144923705
5,50,0.1,quadratic,linear,2.5657222124258365,37.92540737241973,0.6563072900622046,0.10564280280562449
5,50,0.1,quadratic,flat,2.0890282348606855,36.53388418217291,0.8445617884932947,0.10551982652238062
5,50,0.1,quadratic,full,1.912753866009979,35.874934951909324,0.916151724443578,0.10537609435117541
5,100,0.01,linear,linear,2.936391439186123,47.36186184117918,0.8863607254899066,0.014253493049669682
5,100,0.01,linear,flat,2.9029800685325795,50.60995964375483,1.0,0.014321074757036706
5,100,0.01,linear,full,2.902980185159865,50.60998626236733,1.0,0.014321074757036706
5,100,0.01,quadratic,linear,4.041389632844941,51.68687952068709,0.683165213623694,0.014321074757036706
5,100,0.01,quadratic,flat,3.450869216191993,51.44948240769427,0.8502240206048627,0.014321074757036706
5,100,0.01,quadratic,full,3.198351582206494,51.14900610971927,0.919735315283837,0.014321074757036706
5,100,0.05,linear,linear,2.524872027220107,36.9429200823956,0.8172057315770737,0.055332378238761755
5,100,0.05,linear,flat,2.290690273403257,46.894399008683976,1.0,0.05450972060050626
5,100,0.05,linear,full,2.2906902676884444,46.8944072710855,1.0,0.05450972060050626
5,100,0.05,quadratic,linear,3.3157041299663965,50.6793935885474,0.6804834159575331,0.05425349304966969
5,100,0.05,quadratic,flat,2.793821912308255,49.205737097169475,0.8484995900067092,0.05447200463059288
5,100,0.05,quadratic,full,2.5644877620928392,48.10882323787942,0.9187079598689847,0.05450972060050626
5,100,0.1,linear,linear,2.2530039538876987,32.28945931773114,0.8949462074316924,0.10630000359248912
5,100,0.1,linear,flat,1.7908409892109338,37.110513441124546,1.0,0.10535905820293086
5,100,0.1,linear,full,1.7908410318304921,37.11053487444537,1.0,0.10535905820293086
5,100,0.1,quadratic,linear,2.7642806905310002,42.93894573849607,0.6657822947831601,0.10532583727618361
5,100,0.1,quadratic,flat,2.237294003400556,40.28520746878863,0.8410095777142842,0.10533237823876178
5,100,0.1,quadratic,full,2.028711809264108,39.30571278082919,0.9143026445128695,0.10518663049461442
10,50,0.01,linear,linear,2.4109490395129676,47.44070443030808,0.8104540220470982,0.016878735856007087
10,50,0.01,linear,flat,2.344810685616851,48.49386497829654,1.0,0.017541928016458194
10,50,0.01,linear,full,2.3448098303904352,48.49387370813998,1.0,0.017541928016458194
10,50,0.01,quadratic,linear,3.2205701731949334,48.57315712074518,0.6567547460182742,0.017541928016458194
10,50,0.01,quadratic,flat,2.716923326561405,48.55228678162368,0.8626304795494323,0.017541928016458194
10,50,0.01,quadratic,full,2.5415847109228498,48.53161764315706,0.9266668130969148,0.017541928016458194
10,50,0.05,linear,linear,2.2541858470585074,45.16053016048711,0.7717636613735329,0.05536032578287314
10,50,0.05,linear,flat,1.9304912050948773,48.10733626089652,1.0,0.05693631487434979
10,50,0.05,linear,full,1.9304906612934771,48.1073353716642,1.0,0.05693631487434979
10,50,0.05,quadratic,linear,2.673884079914128,48.247262430862136,0.6570142158637364,0.05733076905444265
10,50,0.05,quadratic,flat,2.2847409590841363,48.2009187405718,0.8587395760806164,0.057038364923081196
10,50,0.05,quadratic,full,2.117736759140989,48.16113259600698,0.924331532076589,0.05702508033198195
10,50,0.1,linear,linear,1.9477517675708302,39.66945829201642,0.8473352710000553,0.10584257459518376
10,50,0.1,linear,flat,1.5812605136052458,45.095013834222996,1.0,0.10594932569512061
10,50,0.1,linear,full,1.5812591005166268,45.09500976911701,1.0,0.10594932569512061
10,50,0.1,quadratic,linear,2.328288893954606,47.3814392852794,0.6408050648242817,0.10630830475653179
10,50,0.1,quadratic,flat,1.9106627886895795,46.515187020307835,0.8487792489048597,0.10613052880114597
10,50,0.1,quadratic,full,1.7752898046360337,45.921676966321165,0.9180761694756172,0.10584025685705711
10,100,0.01,linear,linear,2.7854704151402,79.33798182530956,0.8404020418533662,0.013239069961465675
10,100,0.01,linear,flat,2.696465038606311,84.01916406709366,0.9974136964661361,0.013330566414351121
10,100,0.01,linear,full,2.69601215568845,84.0192044768887,0.9988576317323522,0.013330566414351121
10,100,0.01,quadratic,linear,3.8520158833932805,85.14120703948316,0.66920722827267,0.013796485211872711
10,100,0.01,quadratic,flat,3.246482939087983,84.90005712814914,0.8462464667625937,0.013667674088453187
10,100,0.01,quadratic,full,2.9896670905985245,84.57770178805924,0.9182931957145882,0.013507172391278828
10,100,0.05,linear,linear,2.584732422891961,64.92978523552127,0.8389059910443677,0.05353244817605336
10,100,0.05,linear,flat,2.21028213542898,79.12185634194242,0.9967012536873394,0.053230547127059366
10,100,0.05,linear,full,2.209538056146486,79.12187115865834,0.9995034882211353,0.053230547127059366
10,100,0.05,quadratic,linear,3.117869657137537,83.39933024129445,0.6627990455610964,0.05350717239127884
10,100,0.05,quadratic,flat,2.721974194542379,81.52803774094049,0.8473500272364478,0.053341541906607164
10,100,0.05,quadratic,full,2.488196170375899,80.55705674339161,0.9181418297909774,0.05326048847112854
10,100,0.1,linear,linear,2.1217545954081056,50.48433711360917,0.8789856763540597,0.10475532867019571
10,100,0.1,linear,flat,1.7647722359730857,63.72349668295573,0.9999494529210541,0.10378749358262843
10,100,0.1,linear,full,1.7647713181093843,63.72352540863582,1.0,0.10378749358262843
10,100,0.1,quadratic,linear,2.73360074003626,74.47973373714727,0.6587401857322821,0.10333893189045606
10,100,0.1,quadratic,flat,2.268596969182894,70.31820381834348,0.8383948272102604,0.10353652489995675
10,100,0.1,quadratic,full,2.0585287275870736,66.9019720267561,0.9130765712917647,0.10364700016881953
